,,,,Date,,,,,,,,,,,,,,,,,
,,,,Adoption,,,,,,,,,,,,,,,,,
Trm,Dept/Course,Section,Professor,Received,Author,Title,ISBN,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,HAMID,OTHERNESS AND THE MEDIA,978-1-1386995-0-2,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,BARNARD,HISTORY+THEORY IN ANTHROPOLOGY,978-0-521-77432-1,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,CARRITHERS,WHY HUMANS HAVE CULTURES,978-0-19-289211-9,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,GRIMSHAW,ETHNOGRAPHER'S EYE,978-0-521-77475-8,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,LOIZOS,INNOVATION IN ETHNOGRAPHIC FILM,978-0-226-49227-8,,,,,,,,,,,,,,
F19,ANTH 1253,S01,"Fruzzetti, Lina M.",4/11/2019,ROSEN,"CHANGE MUMMIFIED:CINEMA,HISTORICITY,...",978-0-8166-3638-9,,,,,,,,,,,,,,
F19,APMA 0340,S01,"Dobrushkin, Vladimir",4/1/2019,DOBRUSHKIN,APPLIED DIFFERENTIAL EQUATIONS,978-1-4398510-4-3,,,,,,,,,,,,,,
F19,APMA 0360,S01,"Maxey, Martin R.",4/1/2019,LOGAN,APPLIED PARTIAL DIFFERENTIAL EQUATIONS,978-3-3191249-2-6,,,,,,,,,,,,,,
F19,APMA 1160,S01,"Darbon, Jerome B",4/1/2019,BOYD,CONVEX OPTIMIZATION,978-0-521-83378-3,,,,,,,,,,,,,,
F19,APMA 1170,S01,"Shin, Yeonjong",4/11/2019,TREFETHEN,NUMERICAL LINEAR ALGEBRA,978-0-89871-361-9,,,,,,,,,,,,,,
F19,APMA 1170,S01,"Shin, Yeonjong",4/14/2019,STRANG,INTRO.TO LINEAR ALGEBRA (CLOTH),978-0-9802327-1-4,,,,,,,,,,,,,,
F19,APMA 1170,S01,"Shin, Yeonjong",4/17/2019,STRANG,INTRO.TO LINEAR ALGEBRA (CLOTH),978-0-9802327-7-6,,,,,,,,,,,,,,
F19,APMA 1650,S01,"Klivans, Caroline J.",4/1/2019,WACKERLY,MATH.STATISTICS W/APPL.,978-0-495-11081-1,,,,,,,,,,,,,,
F19,APMA 1655,S01,"Wang, Hui",4/1/2019,WACKERLY,MATH.STATISTICS W/APPL.,978-0-495-11081-1,,,,,,,,,,,,,,
F19,APMA 1710,S01,"Menon, Govind",4/1/2019,COVER,ELEMENTS OF INFORMATION THEORY (CL),978-0-471-24195-9,,,,,,,,,,,,,,
F19,APMA 2550,S01,"Shu, Chi-Wang",4/16/2019,GUSTAFSSON,TIME-DEPENDENT PROB.+DIFFERENCE METHODS,978-0-470-90056-7,,,,,,,,,,,,,,
F19,ARCH 0530,S01,"Van Dommelen, Peter",4/22/2019,MILES,CARTHAGE MUST BE DESTROYED,978-0-14-312129-9,,,,,,,,,,,,,,
F19,BHBR 0100,S01,,4/23/2019,HACKETT,BASIC INTRO.TO BIBLICAL HEBREW-W/CD,978-1-5985602-8-2,,,,,,,,,,,,,,
F19,BHBR 0100,S01,,4/23/2019,ELLIGER,BIBLIA HEBRAICA STUTTGUARTENSIA,978-1-5985616-3-0,,,,,,,,,,,,,,
F19,BHBR 0100,S01,,4/23/2019,BROWN,BROWN-DRIVER-BRIGGS HEBREW+ENGLISH LEX.,978-1-5656320-6-6,,,,,,,,,,,,,,
F19,BHBR 0100,S01,,4/23/2019,HOLLADAY,CONCISE HEBREW+ARAMAIC LEX.OF OLD TEST.,978-0-8028-3413-3,,,,,,,,,,,,,,
F19,BIOL 0100,S01,"Smith, Katherine F.",4/10/2019,LIGHT,MAKING MOST OF COLLEGE,978-0-674-01359-9,,,,,,,,,,,,,,
F19,BIOL 0100,S01,"Smith, Katherine F.",4/10/2019,QUAMMEN,SPILLOVER,978-0-393-34661-9,,,,,,,,,,,,,,
F19,BIOL 0100,S01,"Smith, Katherine F.",4/10/2019,SKLOOT,IMMORTAL LIFE OF HENRIETTA LACKS,978-1-4000521-8-9,,,,,,,,,,,,,,
F19,BIOL 0380,S01,"Weinreich, Daniel M.",4/10/2019,QUAMMEN,SPILLOVER,978-0-393-34661-9,,,,,,,,,,,,,,
F19,BIOL 0470,S01,"Johnson, Mark A.",4/22/2019,GRIFFITHS,INTRO.TO GENETIC ANALYSIS,978-1-4641094-8-5,,,,,,,,,,,,,,
F19,BIOL 0470,S01,"Johnson, Mark A.",4/22/2019,ANTHONY J.F. G,AN INTRODUCTION TO GENETIC ANALYSIS,978-1-3191163-8-5,,,,,,,,,,,,,,
F19,BIOL 0800,S01,"Stein, John J.",4/22/2019,WIDMAIER,VANDER'S HUMAN PHYSIOLOGY,978-1-2592940-9-9,,,,,,,,,,,,,,
F19,BIOL 0800,S01,"Stein, John J.",4/22/2019,WIDMAIER,VANDER'S HUMAN PHYSIOLOGY,978-1-2596131-1-1,,,,,,,,,,,,,,
F19,BIOL 1050,S01,"Miller, Kenneth Raym",4/12/2019,ALBERTS,MOLECULAR BIOLOGY OF CELL,978-0-8153-4432-2,,,,,,,,,,,,,,
F19,BIOL 1050,S01,"Miller, Kenneth Raym",4/12/2019,"BRUCE ALBERTS,",MOLECULAR BIOLOGY OF THE CELL,978-1-3175637-5-4,,,,,,,,,,,,,,
F19,BIOL 1160,S01,"Hai, Chi-Ming",4/16/2019,MCARDLE,EXERCISE PHYSIOLOGY,978-1-4511915-5-4,,,,,,,,,,,,,,
F19,BIOL 1465,S01,"Huerta-Sanchez, Emil",4/11/2019,JOBLING,HUMAN EVOLUTIONARY GENETICS,978-0-8153-4148-2,,,,,,,,,,,,,,
F19,BIOL 1565,S01,"Sarkar, Neil",4/11/2019,SHORTLIFFE,BIOMEDICAL INFORMATICS,978-1-4471447-3-1,,,,,,,,,,,,,,
F19,BIOL 2050,S01,"Miller, Kenneth Raym",4/12/2019,ALBERTS,MOLECULAR BIOLOGY OF CELL,978-0-8153-4432-2,,,,,,,,,,,,,,
F19,BIOL 2050,S01,"Miller, Kenneth Raym",4/12/2019,"BRUCE ALBERTS,",MOLECULAR BIOLOGY OF THE CELL,978-1-3175637-5-4,,,,,,,,,,,,,,
F19,BIOL 0190P,S01,"Helfand, Stephen L.",4/15/2019,DESMOND,DARWIN:LIFE OF A TORMENTED EVOLUTIONIST,978-0-393-31150-1,,,,,,,,,,,,,,
F19,BIOL 0190P,S01,"Helfand, Stephen L.",4/15/2019,GOULD,MISMEASURE OF MAN-EXPANDED,978-0-393-31425-0,,,,,,,,,,,,,,
F19,BIOL 0190P,S01,"Helfand, Stephen L.",4/15/2019,DARWIN,ON THE ORIGIN OF SPECIES,978-0-674-63752-8,,,,,,,,,,,,,,
F19,BIOL 0940B,S01,"Jackson, Donald C.",4/10/2019,JACKSON,LIFE IN A SHELL,978-0-674-07230-5,,,,,,,,,,,,,,
F19,CLAS 0765,S01,"Eccleston, Sasha-Mae",3/25/2019,APULEIUS,GOLDEN ASS,978-0-300-19814-0,,,,,,,,,,,,,,
F19,CLAS 0765,S01,"Eccleston, Sasha-Mae",3/25/2019,HOMER,ODYSSEY,978-0-14-026886-7,,,,,,,,,,,,,,
F19,CLAS 0765,S01,"Eccleston, Sasha-Mae",3/25/2019,EURIPIDES,WOMEN ON THE EDGE:4 PLAYS BY EURIPIDES,978-0-415-90774-3,,,,,,,,,,,,,,
F19,CLAS 0765,S01,"Eccleston, Sasha-Mae",3/25/2019,HESIOD,"THEOGONY,WORKS+DAYS,SHIELD",978-0-8018-7984-5,,,,,,,,,,,,,,
F19,CLAS 1205,S01,"Conant, Jonathan P.",4/1/2019,PROKOPIOS,SECRET HISTORY W/RELATED TEXTS,978-1-6038418-0-1,,,,,,,,,,,,,,
F19,CLAS 1205,S01,"Conant, Jonathan P.",4/1/2019,WARD-PERKINS,FALL OF ROME+END OF CIVILIZATION,978-0-19-280728-1,,,,,,,,,,,,,,
F19,CLAS 1205,S01,"Conant, Jonathan P.",4/1/2019,WICKHAM,INHERITANCE OF ROME,978-0-14-311742-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
